alternative,alternative_pos,example
about,ADP,Refer to table 7001 for data about how the pivot assembly is made.
above,ADP,The heads of the bolts must not be more than 5 mm above the plate.
above,ADP,"Make sure that the hydraulic fluid level is not above the ""full"" mark."
above,ADP,The heads of the bolt must not be more than 5 mm above the plate.
absorb,VERB,Measure the time necessary for the silica gel to absorb the moisture.
accept,VERB,"Before you accept the unit, you must do the specified test procedure."
access,NOUN,Turn the cover until you can get access to the jacks that have + and - marks.
accidental,ADJ,Accidental operation of the system can kill you.
accidental,ADJ,A guard on the control switch of the pump prevents accidental operation.
accidentally,ADV,"If you accidentally put too much fuel in the tank, open the drain valve."
accidentally,ADV,"If you accidentally spray rain repellent fluid onto a dry windshield, remove the fluid with a solvent."
accurate,ADJ,"If the adjustment of the stops is not correct, the results of the test will not be accurate."
accurate,ADJ,The gyro adjustment must be accurate.
accurately,ADV,Put the repair sheet accurately on the damaged area.
accurately,ADV,Adjust the gyro accurately.
across,ADV,Do not go across the safety line.
add,VERB,"To get the correct clearance, add special shims, as necessary."
adjacent,ADJ,Align the brackets with the adjacent components.
adjacent,ADJ,Remove the sensor to get access to the adjacent structure.
adjacent,ADJ,Clean the mounting and the adjacent area.
adjust,VERB,Adjust the linkage again after the inspection.
adjust,VERB,Adjust the system.
adjust,VERB,Adjust compass system 1 until it agrees with compass system 2.
adjustment,NOUN,Temperature adjustment is automatic.
adjustment,NOUN,Do not change the adjustment.
aft of,ADP,The control unit is installed aft of the flight compartments.
after,ADP,Only use the starter after a period of 20 minutes.
after,SCONJ,"After you install the component, remove the handling tool."
again,ADV,Do steps (10) thru (14) again.
agree,VERB,"If the flap extension does not agree with the position of the flap control lever, do the rigging procedure again."
agree,VERB,The indications must agree with those in table 2.
agree,VERB,The precision of the gauges must agree with the applicable quality standard.
agree,VERB,Make sure that the indications agree with the position of the flaps.
agree,VERB,Make sure that the position of the clamp agrees with the position that you recorded during the removal procedure.
agree,VERB,Make the settings of the valves agree.
agree,VERB,Make sure that the indication on the gauge agrees with the quantity that is in the tank.
aid,NOUN,You must have the aid of one more person for the step that follows.
aid,NOUN,"If you get the spray in your eyes, get medical aid."
aid,NOUN,Get medical aid immediately.
airflow,NOUN,Make sure that the area where you will use this solvent has good airflow.
airflow,NOUN,Make sure that the airflow is sufficient.
align,VERB,Make sure that the keyway is at the top and aligns with the peg.
align,VERB,The fasteners must align with the holes in the track.
align,VERB,Fold the girt onto the container until it is aligned with the velcro tape.
all,ADJ,All the weight must be on the spar tip.
all,ADJ,Remove all safety pins before flight.
all,ADJ,All the test conditions are given in paragraph 2.0.
allowed,ADJ,A maximum of two washers is permitted for each bolt.
almost,ADV,Move the pointer until it is almost in the green band.
alternative,ADJ,An alternative repair is available.
alternative,NOUN,Test b is an alternative to test a.
alternative,NOUN,Use a spatula as an alternative.
alternative,NOUN,You can use a clean plastic bag as an alternative to the specified container.
alternative,NOUN,You can use alternatives for these items.
analysis,NOUN,Make an analysis of the oil.
applicable,ADJ,Lock the washer with the applicable tabs.
applicable,ADJ,This procedure is applicable only to a type b unit.
applicable,ADJ,This procedure is applicable to type a parts.
applicable,ADJ,Put the applicable screwdriver in the slot.
apply,VERB,Apply the sealant with a wooden spatula.
apply,VERB,Apply weight on the surface of the patch to make sure that the parts bond correctly.
apply,VERB,Apply the load equally on the area.
apply,VERB,Apply talcum powder to the area.
apply,VERB,Do not apply pressure to the aft flange.
apply,VERB,Apply masking tape to the transparent panel.
apply,VERB,Apply grease to the rod again.
apply,VERB,Apply enamel where it is missing.
apply,VERB,Apply grease to the taper sleeve.
apply,VERB,Apply the compound equally.
apply,VERB,Apply suction to the system.
apply,VERB,Apply wax to the surface.
approval,NOUN,Get approval for all modifications from the design authority.
approved,ADJ,Only approved persons are permitted to stay in this area.
approved,ADJ,An approved person must do the important checks.
approved,ADJ,An approved person must do the important checks.
approved,ADJ,Only approved personnel must operate the brakes.
approximately,ADV,Put a container (approximately 5 liters) below the waste water outlet.
around,ADP,The pointer moves around the dial.
around,ADP,Put sealant around each screw hole.
around,ADP,"If you install the seal incorrectly, leaks can occur around the valve."
assemble,VERB,Assemble the unit.
assemble,VERB,Assemble the unit.
assemble,VERB,Assemble the movable hoist before you lift the gearbox.
assemble,VERB,Assemble the actuator again.
assemble,VERB,Assemble the unit. use new parts of necessary.
attach,VERB,The straps are attached to a full-length rail.
attach,VERB,Make sure that the duct is correctly attached to the filter.
attach,VERB,Attach the two stringers together with rivets.
attach,VERB,Attach the trim with double-sided adhesive tape.
attach,VERB,Remove the bolts that attach the unit.
attach,VERB,Attach the label to the surface.
attach,VERB,Attach the threading cord to the new cable.
auxiliary,ADJ,The engine and all auxiliary equipment use the same lubricant.
back,ADV,"After the ailerons go back to neutral, make sure that they are flush with the flaps."
back,ADV,The plungers must go back to the closed position.
bad,ADJ,Refer to chapter 6 for instructions on how to park in bad weather conditions.
bank,NOUN,The v-bars give the indication for a bank.
bare,ADJ,Give temporary protection to areas of bare metal.
bare,ADJ,Apply protective treatment on the bare surfaces.
be,VERB,"If there are rough areas, remove them with emery cloth."
be,VERB,There are two different procedures for this repair.
be,VERB,"If there is contamination in the fuel tanks, remove it immediately."
be,VERB,There must be no errors when you open the file.
be,VERB,The motor stops when the flaps are at the end of their travel.
be,VERB,Turn the potentiometer until the light is dim.
be,VERB,The other part of the clip is along the barrel.
be,VERB,This inspection is necessary when there are defects.
be,VERB,"If there is a voltage at pin c of connector f7, the unit is unserviceable."
be,VERB,The aircraft must be on its wheels.
be careful,ADJ,Be careful not to get acid on your skin.
because,SCONJ,The pump did not operate because the shaft was broken.
because of,ADP,"Because of this, the unit will not operate."
because of,ADP,"Because of the small diameter of the hole, the flow value is low."
become,VERB,Do not let the heater become too hot.
become,VERB,"If the battery becomes too hot, disconnect it."
before,SCONJ,Clean the surface before you apply the tape.
before,SCONJ,"If the valve opens before the set pressure, stop the test."
before,SCONJ,"If the valve opens before the set pressure, stop the test."
before,SCONJ,Remove the plate before you adjust the cable.
before,SCONJ,"If the control was adjusted before you do this procedure, do not do the valve test."
before,SCONJ,Drain the system before you disconnect the components.
below,ADP,Put the jack below the axle.
below,ADP,Install the cable through the guide tube below the cabin floor.
below,ADP,Put the container below the drain valve.
bend,NOUN,The bend in the pipe must have a 30 mm radius.
bend,VERB,The wing can bend up and down during flight.
better,ADJ,Do not adjust the parts again to make the position better.
bleed,VERB,Bleed the no. 1 hydraulic system.
blockage,NOUN,Examine the drain holes for blockage.
blocked,ADJ,"If the drain hole is blocked, remove the unwanted material."
blunt,ADJ,Examine the static dischargers for bent and blunt pins.
bolt,NOUN,Attach the track to the channels with the bolts.
bond,VERB,The seal must bond correctly.
bond,NOUN,Clean the surface to make sure that the bond is satisfactory.
bond,VERB,Bond the patch to the surface with the applicable glue.
bond,VERB,Use adhesive no. 35 to bond metal to metal.
bottom,NOUN,Make sure that the two spigots at the bottom of the unit engage.
bottom,ADJ,The bottom mark on the board is red.
bottom,ADJ,Examine the bottom skin panels of the fuselage for cracks.
break,VERB,"If the disk breaks, stop the supply."
breathe,VERB,Breathe into the oxygen mask.
breathe,VERB,Do not breathe the solvent fumes.
brush,NOUN,Use a brush to clean the filter element.
brush,NOUN,Apply the paint with a brush.
brush,NOUN,Use a brush to clean metal parts.
but,SCONJ,But we recommend this step to decrease the drying time.
but,SCONJ,"Tighten the nuts, but keep them sufficiently loose to remove them with your hand."
calculate,VERB,Calculate the quantity of fuel necessary.
calculate,VERB,"In this example, we only calculated the data applicable to a type b unit."
calculate,VERB,Calculate the voltage in the circuit.
calculate,VERB,Calculate the quantity of fuel necessary for the flight.
can,VERB,One generator can supply power for all the systems.
can,VERB,"If you can start the engine, do a bite test."
can,VERB,"If you use incorrect equipment, you can cause damage to the vanes."
can,VERB,Solvents that stay on the part can cause corrosion.
cancel,VERB,Cancel the display.
cancel,VERB,Push the button to cancel the freeze mode.
cannot,VERB,"If the pulley cannot turn, make sure that the pin is removed."
cap,NOUN,Put a cap on the connector.
cap,NOUN,Remove the caps from the hoses.
carefully,ADV,Carefully feel the heater with your hands to make sure that it operates.
carefully,ADV,Carefully monitor the system operation.
carefully,ADV,Turn the potentiometer carefully.
carefully,ADV,Carefully pull the electrical wire out from the rubber seal.
catch,VERB,Make sure that the rods cannot catch on the flaps.
catch,VERB,Make sure that the drag struts do not catch on the landing gear.
catch,VERB,"If the control cable is caught in the pulley, release the cable tension."
catch,VERB,The cloth will catch on broken wires.
category,NOUN,The bite divides the faults into categories.
caught,ADJ,Make sure that the cable is not caught.
cause,VERB,A heavy landing can cause shock loading of the engine.
cause,VERB,Incorrect installation will cause damage.
cause,VERB,There can be many causes for corrosion.
cause,VERB,Seawater can cause corrosion.
cause,VERB,Removal of the unit before 24 hours can cause damage to it.
cause,VERB,Scratches in the windscreen can cause cracks.
cause,VERB,"When you engage the shaft, it will cause a click."
cause,NOUN,Find the cause of the incorrect indication.
cause,VERB,An incorrect connection will cause damage.
cause,VERB,Heat causes the pressure to increase.
center,NOUN,Align the piston with the center of the sleeve.
center,NOUN,Set the controls to the center position.
certain,ADJ,You must be sure that the pump can operate.
change,VERB,It is possible that the installation changed the routing of the cable loom.
change,VERB,"If you change this repair procedure, get approval of the design authority."
change,NOUN,The design authority must give approval to changes you make to the repair scheme.
change,VERB,Change the units for the fuel load to u.s. gallons.
change,VERB,Service bulletin no. 105 changes the bolts that attach the power control unit.
change,NOUN,The change from full-rate operation to half-frate operation must occur immediately.
change,VERB,"If the humidity changes frequently, put a cover on the unit."
change,VERB,Change the frequency and record the results.
channel,NOUN,Install the wires in the channel along the housing.
charge,VERB,Charge the battery again.
chock,NOUN,Put the chocks against the wheels.
circular,ADJ,Repair the damage with a circular patch.
clamp,NOUN,Attach the adjacent cables with a clamp.
class,NOUN,There are four general classes of fasteners.
clean,ADJ,"Conditions for a satisfactory bond are:
    â  - a clean surfaceâ 
    â  - the temperatureâ 
    â  - the pressure."
clean,VERB,Clean the drain hole.
clean,ADJ,Do the work in a clean area.
clean,ADJ,Flush with clean water.
clean,VERB,Clean the water.
